Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,242.940002,248.550003,240.029999,247.020004,233.383636,2036500
2019-05-13,244.119995,244.929993,240.669998,241.919998,228.565109,1962800
2019-05-14,242.289993,245.089996,241.809998,242.729996,229.330444,1635100
2019-05-15,242.110001,245.399994,241.229996,244.669998,231.163330,1194800
2019-05-16,245.630005,249.729996,245.210007,247.440002,233.780426,1800600
2019-05-17,245.880005,250.050003,245.589996,248.350006,234.640198,1672000
2019-05-20,247.149994,249.940002,247.149994,248.899994,235.159851,1600500
2019-05-21,249.110001,250.830002,248.100006,249.929993,236.132935,1504200
2019-05-22,251.009995,251.009995,249.139999,249.509995,235.736145,1242300
2019-05-23,248.630005,249.919998,247.179993,248.529999,234.810272,1822800
2019-05-24,249.110001,249.559998,246.770004,247.300003,233.648102,1340200
2019-05-28,248.580002,250.199997,246.139999,246.309998,232.712753,3164100
2019-05-29,244.130005,244.770004,238.910004,240.690002,227.403030,2594900
2019-05-30,242.149994,243.580002,240.750000,241.539993,228.206100,2030300
2019-05-31,238.979996,240.660004,233.050003,239.580002,226.354294,4058100
2019-06-03,239.779999,241.539993,238.080002,241.070007,227.762039,2512500
2019-06-04,243.000000,245.820007,242.500000,245.610001,232.051422,1761500
2019-06-05,246.100006,248.759995,245.020004,247.960007,234.271744,1825500
2019-06-06,248.000000,251.940002,247.740005,251.210007,237.342285,1487800
2019-06-07,251.160004,256.600006,251.020004,256.010010,241.877350,2270200
2019-06-10,256.399994,258.829987,256.109985,256.850006,242.670944,1839500
2019-06-11,258.910004,259.619995,256.209991,257.109985,242.916565,1613500
2019-06-12,257.579987,258.750000,255.770004,257.230011,243.029999,1071700
2019-06-13,257.709991,259.869995,257.549988,259.709991,245.373047,1228500
2019-06-14,260.000000,261.200012,258.910004,260.149994,245.788788,1287800
2019-06-17,261.130005,262.250000,260.429993,261.429993,246.998093,1191900
2019-06-18,263.609985,264.200012,262.049988,262.739990,248.235764,2763200
2019-06-19,262.309998,264.100006,260.940002,263.660004,249.105042,1628400
2019-06-20,265.000000,267.790009,264.549988,267.350006,252.591324,1745100
2019-06-21,266.769989,268.940002,265.989990,266.130005,251.438690,2964000
2019-06-24,267.309998,267.970001,266.519989,266.769989,252.043365,1586100
2019-06-25,266.709991,267.079987,265.359985,266.359985,251.655960,1182400
2019-06-26,266.450012,266.820007,264.339996,264.410004,249.813629,1334400
2019-06-27,264.899994,266.480011,262.989990,265.579987,250.919037,1122900
2019-06-28,265.500000,266.390015,263.359985,264.260010,249.671890,1952500
2019-07-01,266.429993,267.000000,261.839996,263.549988,249.001083,1955800
2019-07-02,263.920013,265.570007,261.670013,265.470001,250.815125,1201300
2019-07-03,265.140015,269.160004,265.140015,269.140015,254.282471,986500
2019-07-05,268.200012,268.609985,266.269989,268.250000,253.441620,1081500
2019-07-08,268.329987,269.690002,267.350006,269.399994,254.528107,1236000
2019-07-09,269.359985,270.779999,268.489990,269.970001,255.066650,1400300
2019-07-10,270.049988,271.529999,269.339996,271.420013,256.436646,1257000
2019-07-11,272.329987,276.769989,271.809998,276.540009,261.273987,1985600
2019-07-12,276.500000,280.000000,276.010010,279.440002,264.013885,2046400
2019-07-15,279.940002,280.700012,278.899994,280.579987,265.090973,1568000
2019-07-16,281.000000,281.369995,279.779999,280.649994,265.157074,1379200
2019-07-17,281.049988,282.850006,280.220001,281.559998,266.016846,1716600
2019-07-18,282.200012,283.059998,279.190002,282.910004,267.292297,1696100
2019-07-19,283.070007,284.309998,281.350006,281.510010,265.969604,1607600
2019-07-22,281.220001,282.320007,279.320007,280.170013,264.703583,1459100
2019-07-23,281.850006,282.079987,279.019989,280.100006,264.637451,1117800
2019-07-24,279.829987,281.239990,279.010010,280.829987,265.327118,1257100
2019-07-25,281.200012,281.940002,279.339996,279.799988,264.354034,1600200
2019-07-26,279.799988,281.769989,279.119995,281.369995,265.837341,1447700
2019-07-29,281.010010,281.299988,279.540009,280.130005,264.665741,1257400
2019-07-30,280.269989,280.570007,279.100006,279.500000,264.070526,978200
2019-07-31,279.019989,279.720001,272.630005,275.630005,260.414246,1886900
2019-08-01,275.750000,280.929993,274.309998,274.570007,259.412750,2634300
2019-08-02,274.299988,274.940002,270.500000,272.500000,257.457001,1969200
2019-08-05,270.089996,270.549988,262.709991,265.100006,250.465485,3329800
2019-08-06,266.470001,270.230011,264.049988,269.309998,254.443115,2383000
2019-08-07,268.179993,274.859985,263.589996,274.299988,259.157562,3037500
2019-08-08,273.040009,274.839996,271.000000,274.799988,259.630005,2046700
2019-08-09,274.579987,275.470001,271.910004,273.940002,258.817505,1284300
2019-08-12,274.029999,274.980011,269.299988,271.309998,256.332672,1638600
2019-08-13,271.179993,278.160004,270.010010,276.260010,261.009430,1724600
2019-08-14,274.000000,275.359985,268.000000,268.149994,253.347168,2122100
2019-08-15,270.529999,272.970001,268.769989,271.519989,256.531128,1623200
2019-08-16,274.100006,276.070007,273.440002,274.100006,258.968689,1230800
2019-08-19,276.410004,277.380005,274.549988,275.609985,260.395264,1313400
2019-08-20,276.279999,276.359985,272.850006,272.970001,257.901001,1390600
2019-08-21,275.410004,276.540009,274.700012,275.679993,260.461426,1682300
2019-08-22,277.010010,280.989990,276.869995,279.920013,264.467377,2345500
2019-08-23,278.209991,280.130005,272.700012,274.010010,258.883698,1984300
2019-08-26,275.750000,278.529999,275.690002,278.459991,263.087982,1426400
2019-08-27,281.000000,293.440002,280.339996,292.380005,276.239594,5169000
2019-08-28,293.750000,299.950012,292.420013,294.489990,278.233032,5162100
2019-08-29,297.480011,297.730011,292.760010,296.570007,280.818146,2613100
2019-08-30,298.000000,298.279999,292.829987,294.760010,279.104279,1801000
2019-09-03,292.570007,294.000000,290.459991,292.049988,276.538177,1842900
2019-09-04,294.000000,296.299988,293.769989,296.119995,280.391968,1375700
2019-09-05,298.429993,299.709991,296.679993,296.970001,281.196899,1865300
2019-09-06,299.200012,304.640015,298.290009,303.760010,287.626251,3018100
2019-09-09,304.500000,307.339996,298.209991,299.000000,283.119049,3397200
2019-09-10,297.380005,298.250000,294.579987,297.000000,281.225311,2725000
2019-09-11,294.299988,295.739990,287.809998,290.690002,275.250366,4754700
2019-09-12,290.339996,292.750000,288.679993,289.890015,274.492920,2942600
2019-09-13,290.200012,294.070007,289.850006,291.899994,276.396179,2306300
2019-09-16,290.570007,291.380005,288.339996,288.690002,273.356567,1508900
2019-09-17,289.559998,291.790009,288.690002,291.410004,275.932129,1758900
2019-09-18,290.700012,293.570007,288.799988,292.429993,276.897980,1666000
2019-09-19,289.489990,289.760010,284.709991,287.829987,272.542206,3004700
2019-09-20,288.750000,289.410004,286.140015,286.359985,271.150360,3409500
2019-09-23,286.359985,288.130005,285.750000,287.570007,272.296082,2025400
2019-09-24,289.299988,292.619995,286.399994,287.910004,272.618042,2483200
2019-09-25,288.260010,289.679993,286.869995,288.510010,273.186218,1827800
2019-09-26,289.429993,289.809998,286.600006,288.260010,272.949493,1877300
2019-09-27,289.529999,289.529999,284.399994,285.950012,270.762146,1538100
2019-09-30,287.700012,288.619995,286.570007,288.109985,272.807434,2151500
2019-10-01,288.040009,288.679993,283.179993,283.929993,268.849487,2648900
2019-10-02,283.230011,285.790009,282.220001,285.109985,269.966736,2480600
2019-10-03,285.390015,290.859985,281.600006,289.000000,273.650177,3590200
2019-10-04,287.850006,291.950012,283.320007,291.670013,276.178345,4513300
2019-10-07,291.040009,295.690002,290.500000,293.410004,277.825836,1988700
2019-10-08,292.950012,295.579987,290.450012,291.890015,276.386658,2201100
2019-10-09,293.109985,298.570007,293.109985,296.899994,281.130524,2235500
2019-10-10,298.630005,299.480011,296.260010,297.140015,281.357819,1637500
2019-10-11,298.070007,300.760010,297.359985,297.600006,281.793304,1855500
2019-10-14,298.000000,300.339996,297.500000,297.519989,281.717651,1297600
2019-10-15,298.320007,299.640015,297.230011,298.390015,282.541412,1580700
2019-10-16,296.799988,298.970001,295.079987,298.779999,282.910706,1811100
2019-10-17,298.850006,302.609985,298.850006,302.399994,286.338379,1734600
2019-10-18,302.000000,304.000000,300.980011,302.859985,286.773956,1853900
2019-10-21,303.000000,303.510010,300.170013,301.079987,285.088531,1322900
2019-10-22,301.609985,304.880005,299.950012,299.970001,284.037476,1955600
2019-10-23,299.579987,300.049988,297.179993,297.320007,281.528290,1798700
2019-10-24,295.049988,298.279999,294.559998,297.049988,281.272583,2056700
2019-10-25,295.519989,297.250000,295.109985,296.500000,280.751831,1686200
2019-10-28,295.700012,299.089996,295.209991,298.940002,283.062225,1672600
2019-10-29,298.209991,298.940002,295.809998,295.859985,280.145721,1295300
2019-10-30,296.920013,300.250000,295.970001,299.839996,283.914368,1264300
2019-10-31,298.359985,299.619995,294.549988,297.109985,281.940613,2277400
2019-11-01,297.989990,298.420013,295.500000,296.089996,280.972687,1364500
2019-11-04,297.160004,298.220001,295.170013,296.820007,281.665436,1651600
2019-11-05,297.089996,299.690002,295.809998,299.179993,283.904907,2204500
2019-11-06,299.970001,301.649994,297.929993,301.570007,286.172852,1675000
2019-11-07,303.929993,307.100006,302.480011,305.209991,289.627014,2399400
2019-11-08,302.739990,304.290009,301.279999,302.619995,287.169281,1501600
2019-11-11,301.549988,302.329987,299.700012,300.839996,285.480194,1160900
2019-11-12,300.829987,302.730011,298.660004,300.500000,285.157501,1540800
2019-11-13,300.179993,304.000000,299.519989,302.899994,287.434998,1517900
2019-11-14,304.390015,305.890015,302.269989,304.589996,289.038727,1336400
2019-11-15,305.309998,305.440002,301.600006,303.660004,288.156158,1706100
2019-11-18,303.109985,306.380005,302.750000,304.540009,288.991333,1241300
2019-11-19,304.500000,304.640015,301.450012,302.239990,286.808624,1761400
2019-11-20,302.440002,303.170013,298.010010,300.570007,285.223907,1979500
2019-11-21,300.690002,301.869995,299.519989,300.269989,284.939270,1302500
2019-11-22,301.940002,301.940002,297.230011,299.309998,284.028259,1277300
2019-11-25,300.290009,300.630005,297.549988,299.049988,283.781555,1613000
2019-11-26,299.260010,301.350006,298.820007,301.239990,285.859711,3359100
